product_id,candidate_url,last_status,failure_reason,error_message,attempt_count,last_source_url,last_resolved_url,scraped_at
88310,https://www.ring-paare.de/herrenring-alluring-river.html?alloy=white-375&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/herrenring-alluring-river.html?alloy=white-375&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:23.874734+00:00
88351,https://www.ring-paare.de/damenring-alluring-scene.html?alloy=white_yellow-375&gclid=EAIaIQobChMIhdSplZKd6QIVxVzlCh0D8AD0EAEYASABEgIQVPD_BwE,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/damenring-alluring-scene.html?alloy=white_yellow-375&gclid=EAIaIQobChMIhdSplZKd6QIVxVzlCh0D8AD0EAEYASABEgIQVPD_BwE,,2026-06-14T07:52:25.090016+00:00
88374,https://www.ring-paare.de/alluring-balance.html?alloy=white-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/alluring-balance.html?alloy=white-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:25.913931+00:00
88379,https://www.ring-paare.de/alluring-hope.html?alloy=red-585&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/alluring-hope.html?alloy=red-585&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:25.946167+00:00
88380,https://www.ring-paare.de/herrenring-alluring-balance.html?alloy=white-375,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/herrenring-alluring-balance.html?alloy=white-375,,2026-06-14T07:52:26.291733+00:00
88381,https://www.ring-paare.de/damenring-alluring-balance.html?alloy=white-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/damenring-alluring-balance.html?alloy=white-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:26.347920+00:00
88386,https://www.ring-paare.de/herrenring-alluring-hope.html?alloy=white-585&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/herrenring-alluring-hope.html?alloy=white-585&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:26.669630+00:00
88390,https://www.ring-paare.de/gorgeous-light.html?alloy=white_yellow_red-585&stone=diamond-Brillant&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/gorgeous-light.html?alloy=white_yellow_red-585&stone=diamond-Brillant&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:27.032499+00:00
88396,https://www.ring-paare.de/alluring-path.html?alloy=white-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/alluring-path.html?alloy=white-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:27.040927+00:00
88403,https://www.ring-paare.de/herrenring-alluring-path.html?alloy=white-375&stone=none,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/herrenring-alluring-path.html?alloy=white-375&stone=none,,2026-06-14T07:52:27.465580+00:00
88404,https://www.ring-paare.de/damenring-alluring-path.html?alloy=white-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/damenring-alluring-path.html?alloy=white-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:27.935107+00:00
88429,https://www.ring-paare.de/gorgeous-triumph.html?alloy=white-375,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/gorgeous-triumph.html?alloy=white-375,,2026-06-14T07:52:28.267768+00:00
88477,https://www.ring-paare.de/alluring-capacity.html?alloy=white_yellow-375&gclid=EAIaIQobChMI5ryl-KSr6QIVVpZ3Ch1PLAVpEAEYASAEEgJoMvD_BwE,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/alluring-capacity.html?alloy=white_yellow-375&gclid=EAIaIQobChMI5ryl-KSr6QIVVpZ3Ch1PLAVpEAEYASAEEgJoMvD_BwE,,2026-06-14T07:52:33.443975+00:00
88501,https://www.ring-paare.de/alluring-spring.html?alloy=white_yellow-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/alluring-spring.html?alloy=white_yellow-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:36.067912+00:00
88509,https://www.ring-paare.de/herrenring-alluring-spring.html?alloy=white_yellow-375&stone=diamond-Zirconia,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/herrenring-alluring-spring.html?alloy=white_yellow-375&stone=diamond-Zirconia,,2026-06-14T07:52:36.069740+00:00
88510,https://www.ring-paare.de/damenring-alluring-spring.html?alloy=white_yellow-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/damenring-alluring-spring.html?alloy=white_yellow-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:36.090596+00:00
88532,https://www.ring-paare.de/alluring-breath.html?alloy=white-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/alluring-breath.html?alloy=white-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:38.530891+00:00
88539,https://www.ring-paare.de/herrenring-alluring-breath.html?alloy=white-375&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/herrenring-alluring-breath.html?alloy=white-375&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:39.135328+00:00
88581,https://www.ring-paare.de/alluring-tear.html?alloy=white_yellow-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/alluring-tear.html?alloy=white_yellow-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:39.295976+00:00
88588,https://www.ring-paare.de/alluring-vision.html?stone=diamond-Brillant&itm_source=recommendation&itm_medium=sorting&alloy=yellow-750,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/alluring-vision.html?stone=diamond-Brillant&itm_source=recommendation&itm_medium=sorting&alloy=yellow-750,,2026-06-14T07:52:39.834696+00:00
88598,https://www.ring-paare.de/adore-belief.html?alloy=white_silber,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/adore-belief.html?alloy=white_silber,,2026-06-14T07:52:39.954715+00:00
88664,https://www.ring-paare.de/mystic-ashes.html?alloy=yellow-585&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/mystic-ashes.html?alloy=yellow-585&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:43.962599+00:00
88674,https://www.ring-paare.de/checkout/cart/configure/id/2225179/?alloy=white-585,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/checkout/cart/configure/id/2225179/?alloy=white-585,,2026-06-14T07:52:45.803189+00:00
88680,https://www.ring-paare.de/herrenring-mystic-winter.html?alloy=white-585,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/herrenring-mystic-winter.html?alloy=white-585,,2026-06-14T07:52:45.841666+00:00
88729,https://www.glamira.de/mystic-dream.html?alloy=white-silber&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,11,https://www.glamira.de/mystic-dream.html?alloy=white-silber&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:47.640841+00:00
88734,https://www.glamira.co.uk/mens-ring-mystic-dream.html?alloy=white-silber&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,11,https://www.glamira.co.uk/mens-ring-mystic-dream.html?alloy=white-silber&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:47.655046+00:00
88735,https://www.glamira.de/damenring-mystic-dream.html?alloy=white-silber&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,11,https://www.glamira.de/damenring-mystic-dream.html?alloy=white-silber&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:48.270636+00:00
88742,https://www.ring-paare.de/mystic-soft.html?alloy=white-585&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/mystic-soft.html?alloy=white-585&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:48.514714+00:00
88753,https://www.ring-paare.de/mystic-affair.html?alloy=white-375,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/mystic-affair.html?alloy=white-375,,2026-06-14T07:52:48.706191+00:00
88837,https://www.ring-paare.de/mystic-pray.html?alloy=white-585,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/mystic-pray.html?alloy=white-585,,2026-06-14T07:52:54.224549+00:00
88845,https://www.ring-paare.de/infinite-wake.html?alloy=white-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/infinite-wake.html?alloy=white-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:54.720245+00:00
88846,https://www.ring-paare.de/florid-valid.html?itm_source=recommendation&itm_medium=sorting&stone=none&alloy=red-585,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/florid-valid.html?itm_source=recommendation&itm_medium=sorting&stone=none&alloy=red-585,,2026-06-14T07:52:54.723328+00:00
88851,https://www.ring-paare.de/florid-glam.html?alloy=white_red-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/florid-glam.html?alloy=white_red-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:54.726281+00:00
88852,https://www.ring-paare.de/herrenring-florid-valid.html?alloy=white-375&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/herrenring-florid-valid.html?alloy=white-375&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:54.855784+00:00
